epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.4301,4.1328,6.8385,5.84607,0.00394,0.02602,0.00022,5e-05,3.99892,4.90807,5.4328,0.00036674,0.00036674,0.00036674
2,10.1057,3.35468,2.62692,3.75093,0.60068,0.11674,0.05995,0.01498,3.40414,2.30278,3.67414,0.000749417,0.000749417,0.000749417
3,14.7476,2.92498,2.14227,3.12032,0.58514,0.12729,0.05862,0.01226,3.51909,2.64104,3.72838,0.00112914,0.00112914,0.00112914
4,19.2509,2.74478,2.0347,2.84842,0.093,0.29603,0.05802,0.01625,3.14586,2.24236,3.21725,0.00150367,0.00150367,0.00150367
5,23.7833,2.67557,1.99909,2.71587,0.62007,0.14205,0.09783,0.03166,3.06612,2.24616,3.03141,0.00164108,0.00164108,0.00164108
6,28.3747,2.64358,2.03311,2.66368,0.58495,0.1308,0.04871,0.01311,3.06296,2.33754,3.30744,0.00162661,0.00162661,0.00162661
7,32.7332,2.61209,2.02146,2.62838,0.57648,0.20042,0.05122,0.01468,2.91254,2.3709,3.15716,0.00160905,0.00160905,0.00160905
8,37.1113,2.48787,1.98588,2.5376,0.60932,0.16385,0.06711,0.01913,2.9483,2.16254,2.93128,0.00158847,0.00158847,0.00158847
9,41.5263,2.40509,2.02146,2.49145,0.6024,0.15376,0.06084,0.01648,2.99753,2.27687,2.89633,0.00156493,0.00156493,0.00156493
10,45.9534,2.44342,2.00604,2.47813,0.62163,0.10127,0.0632,0.01648,3.09534,2.31334,2.83794,0.00153854,0.00153854,0.00153854
11,50.3415,2.30846,1.97349,2.35558,0.68194,0.15331,0.1172,0.03599,2.70146,2.05296,2.64798,0.00150941,0.00150941,0.00150941
12,54.9055,2.25303,1.92554,2.32518,0.70266,0.17511,0.13091,0.03715,2.77843,2.05574,2.73683,0.00147764,0.00147764,0.00147764
13,59.8564,2.18679,1.84814,2.26545,0.69224,0.18582,0.14813,0.06164,2.51406,1.96208,2.38155,0.00144335,0.00144335,0.00144335
14,64.4077,2.16799,1.89279,2.2425,0.68008,0.18073,0.14955,0.0644,2.54451,1.91912,2.36898,0.0014067,0.0014067,0.0014067
15,68.9925,2.17868,1.82017,2.20224,0.6871,0.18214,0.16072,0.06759,2.47649,1.82452,2.30445,0.00136781,0.00136781,0.00136781
16,73.5462,2.09879,1.85213,2.19788,0.68646,0.1955,0.16732,0.06692,2.4118,1.78473,2.26241,0.00132685,0.00132685,0.00132685
17,78.0218,2.1472,1.88314,2.16786,0.68559,0.18388,0.15915,0.05436,2.49182,1.8743,2.38105,0.00128398,0.00128398,0.00128398
18,82.3812,1.99354,1.7222,2.10069,0.70496,0.1788,0.15681,0.05832,2.43487,1.93726,2.34217,0.00123936,0.00123936,0.00123936
19,86.7101,1.99099,1.6972,2.08596,0.70827,0.18284,0.1653,0.06635,2.37996,1.94422,2.30584,0.00119317,0.00119317,0.00119317
20,91.0677,2.00556,1.78039,2.13749,0.69355,0.16737,0.15514,0.05636,2.454,1.99298,2.34833,0.0011456,0.0011456,0.0011456
21,95.3684,1.94189,1.72037,2.09747,0.70236,0.17722,0.16739,0.06013,2.43777,1.92812,2.34068,0.00109683,0.00109683,0.00109683
22,99.6931,1.86933,1.62335,2.03194,0.72065,0.20113,0.20564,0.08577,2.22083,1.75374,2.17803,0.00104705,0.00104705,0.00104705
