epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2938,0.13562,0.36631,2.00789,0.98233,0,0.02557,0.60531,0.02007,0.00763,0.01758,0.4,0.00887,0.00303,0.24686,0.73691,2809.25,1.5837,0,0.00066129,0.00066129,0.00066129
2,137.281,0.15935,0.3726,2.02385,1.0764,0,0.29319,0.34513,0.18713,0.07213,0.27376,0.24352,0.12047,0.04075,0.24864,2.76723,5.19123,1.90637,0,0.00132763,0.00132763,0.00132763
3,198.892,0.14984,0.35986,1.96017,1.04958,0,0.13076,0.38584,0.08741,0.04285,0.13044,0.38258,0.0744,0.04116,0.22554,0.61456,9.83981,1.45363,0,0.00199268,0.00199268,0.00199268
4,258.459,0.14645,0.35424,1.89656,1.03174,0,0.52494,0.41947,0.44559,0.26294,0.51287,0.4177,0.3888,0.25772,0.16771,0.35717,2.62985,1.07475,0,0.00199561,0.00199561,0.00199561
5,317.421,0.1328,0.32825,1.7454,0.98225,0,0.56976,0.43717,0.48609,0.28721,0.58038,0.40881,0.44217,0.28193,0.17226,0.38465,2.47034,1.07468,0,0.00199219,0.00199219,0.00199219
6,376.741,0.13531,0.32439,1.72821,0.98373,0,0.59252,0.50619,0.56435,0.32994,0.56537,0.3937,0.46442,0.27728,0.1601,0.36797,2.58915,1.02682,0,0.00198781,0.00198781,0.00198781
7,437.161,0.123,0.30734,1.63054,0.94001,0,0.65774,0.45918,0.55816,0.35344,0.62453,0.43186,0.50021,0.33055,0.15634,0.32869,2.19322,0.99457,0,0.00198246,0.00198246,0.00198246
8,496.969,0.11964,0.29712,1.57353,0.93482,0,0.62481,0.50619,0.55549,0.35745,0.65002,0.44378,0.47241,0.30147,0.14582,0.41193,2.44456,0.96067,0,0.00197616,0.00197616,0.00197616
9,556.15,0.11601,0.29286,1.51292,0.90962,0,0.53973,0.58584,0.56151,0.35554,0.57916,0.5115,0.51911,0.34397,0.14099,0.3015,1.91656,0.95324,0,0.0019689,0.0019689,0.0019689
10,615.141,0.11782,0.28734,1.53285,0.91567,0,0.65418,0.59292,0.65002,0.43676,0.63866,0.56106,0.5989,0.41185,0.13924,0.28684,1.80489,0.95016,0,0.00196069,0.00196069,0.00196069
11,674.452,0.11524,0.28772,1.49488,0.90849,0,0.65244,0.57812,0.63909,0.41227,0.65009,0.4885,0.5433,0.36462,0.14012,0.30961,2.31695,0.91061,0,0.00195155,0.00195155,0.00195155
12,733.529,0.10758,0.27523,1.41238,0.87729,0,0.64801,0.53763,0.58302,0.39147,0.6807,0.38053,0.45826,0.31198,0.14168,0.39079,1.75144,0.91222,0,0.00194147,0.00194147,0.00194147
13,792.871,0.10906,0.27136,1.39925,0.89403,0,0.7014,0.60354,0.66389,0.45139,0.69181,0.56019,0.60655,0.41224,0.12471,0.2721,1.67868,0.84612,0,0.00193048,0.00193048,0.00193048
14,851.989,0.10454,0.25678,1.32882,0.86508,0,0.73063,0.57608,0.67139,0.44404,0.69761,0.56283,0.61118,0.40907,0.12599,0.26674,1.62792,0.8412,0,0.00191858,0.00191858,0.00191858
15,911.022,0.10514,0.25624,1.3348,0.87119,0,0.69745,0.60708,0.65557,0.43058,0.68537,0.56814,0.59738,0.40496,0.13338,0.2782,1.7238,0.89323,0,0.00190578,0.00190578,0.00190578
16,970.969,0.10212,0.25034,1.33308,0.86583,0,0.68254,0.68117,0.72577,0.49435,0.61671,0.6436,0.65085,0.44335,0.12301,0.26799,1.61499,0.83645,0,0.0018921,0.0018921,0.0018921
17,1031.14,0.10597,0.25793,1.33853,0.8694,0,0.73393,0.61239,0.71896,0.51006,0.71696,0.59823,0.66494,0.47163,0.11545,0.26577,1.48783,0.7751,0,0.00187754,0.00187754,0.00187754
18,1091.06,0.10487,0.25537,1.30875,0.868,0,0.63098,0.58053,0.62074,0.40491,0.57581,0.51681,0.52513,0.3507,0.12971,0.32745,1.84341,0.8605,0,0.00186213,0.00186213,0.00186213
19,1150.44,0.10015,0.24512,1.29228,0.84852,0,0.73056,0.62865,0.70616,0.49144,0.69103,0.58191,0.6346,0.43528,0.11758,0.25487,1.53817,0.80129,0,0.00184588,0.00184588,0.00184588
