epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.9394,2.7659,2.83647,2.83621,0.27559,0.23718,0.12375,0.04051,2.95745,2.80023,3.17824,0.000275,0.000275,0.000275
2,11.3281,2.37925,2.253,2.42249,0.01078,0.09494,0.00213,0.00052,3.35631,37.5114,3.04102,0.000561951,0.000561951,0.000561951
3,16.2677,2.30024,2.11538,2.33893,0.04063,0.04782,0.00851,0.002,3.86123,8.30968,3.18693,0.000846682,0.000846682,0.000846682
4,20.9393,2.26281,2.15526,2.29367,0.0157,0.09072,0.0048,0.00094,3.60286,24.6067,3.76205,0.00112753,0.00112753,0.00112753
5,25.5082,2.32285,2.07936,2.2806,0.00664,0.0225,0.0009,0.00016,4.12255,13.3447,3.80016,0.00123056,0.00123056,0.00123056
6,30.0593,2.29254,2.06054,2.29824,0.51584,0.02602,0.00248,0.00048,3.46021,6.23805,3.17561,0.00121972,0.00121972,0.00121972
7,34.6124,2.31639,1.98742,2.31038,0.56778,0.05907,0.01624,0.00393,3.48778,3.77214,3.05616,0.00120655,0.00120655,0.00120655
8,39.4035,2.23441,1.9391,2.20437,0.01282,0.07736,0.00252,0.00065,3.34437,18.4513,3.08654,0.00119111,0.00119111,0.00119111
9,43.9748,2.17712,1.90557,2.19494,0.01974,0.11376,0.00492,0.00121,3.47089,8.31663,3.31415,0.00117346,0.00117346,0.00117346
10,48.5223,2.11469,1.83307,2.15641,0.62005,0.1097,0.0516,0.01801,2.6836,2.69213,2.56106,0.00115368,0.00115368,0.00115368
11,52.9526,2.06148,1.84693,2.1256,0.66373,0.11674,0.08458,0.02944,2.65945,2.37695,2.57651,0.00113183,0.00113183,0.00113183
12,57.4041,1.95466,1.76786,2.07839,0.65798,0.13924,0.09564,0.03442,2.54725,2.30207,2.47449,0.00110801,0.00110801,0.00110801
13,61.922,1.89401,1.68964,2.04037,0.0175,0.15196,0.00465,0.00109,2.81453,67.0905,4.10819,0.0010823,0.0010823,0.0010823
14,66.3144,1.88933,1.75341,2.03144,0.03443,0.29619,0.01607,0.00555,2.5273,11.9513,2.67853,0.00105481,0.00105481,0.00105481
15,70.9897,1.92379,1.68335,2.01982,0.74022,0.18425,0.19836,0.07859,2.22169,1.96374,2.22115,0.00102566,0.00102566,0.00102566
16,75.485,1.85228,1.70993,1.99852,0.22268,0.18565,0.17499,0.07318,2.22289,2.07127,2.18956,0.000994942,0.000994942,0.000994942
17,79.9419,1.92177,1.86077,1.99768,0.7477,0.19263,0.22563,0.10195,2.12967,2.07667,2.20963,0.000962793,0.000962793,0.000962793
18,84.4474,1.77836,1.60599,1.9344,0.75324,0.19269,0.2312,0.10329,2.10145,1.90896,2.19307,0.000929335,0.000929335,0.000929335
19,88.9002,1.81304,1.58039,1.96105,0.80112,0.20113,0.27731,0.1277,2.00138,1.73267,2.11613,0.000894701,0.000894701,0.000894701
20,93.3977,1.81273,1.6535,1.99593,0.81267,0.21167,0.27647,0.12905,1.95062,1.6941,1.99127,0.000859027,0.000859027,0.000859027
21,97.9106,1.75653,1.59204,1.93093,0.77715,0.20394,0.25608,0.12361,2.03042,1.72877,2.01973,0.000822454,0.000822454,0.000822454
22,102.257,1.68553,1.49685,1.86014,0.2634,0.27902,0.2653,0.12638,1.95913,1.58595,2.0441,0.000785127,0.000785127,0.000785127
23,106.565,1.7638,1.61952,1.92435,0.25263,0.28903,0.26021,0.1115,2.08716,1.60009,2.16376,0.000747192,0.000747192,0.000747192
24,110.982,1.68203,1.53252,1.87457,0.25338,0.41705,0.29808,0.14136,1.89208,1.54257,1.93908,0.0007088,0.0007088,0.0007088
25,115.481,1.706,1.51485,1.88219,0.80954,0.21715,0.29411,0.13764,1.92611,1.5654,1.93799,0.000670102,0.000670102,0.000670102
26,119.859,1.7586,1.56811,1.9054,0.8119,0.21941,0.28758,0.12106,2.01989,1.56095,2.03147,0.00063125,0.00063125,0.00063125
27,124.187,1.67189,1.519,1.8669,0.82284,0.21017,0.28665,0.13043,1.99754,1.52049,2.01698,0.000592398,0.000592398,0.000592398
28,128.548,1.68235,1.44966,1.84282,0.82698,0.21941,0.30687,0.15245,1.85408,1.45303,1.89964,0.0005537,0.0005537,0.0005537
29,133.091,1.65551,1.44414,1.82828,0.83135,0.20886,0.30119,0.14808,1.84245,1.44141,1.89901,0.000515308,0.000515308,0.000515308
30,137.473,1.625,1.39114,1.80129,0.84242,0.21699,0.29942,0.14892,1.83826,1.44002,1.88798,0.000477373,0.000477373,0.000477373
