epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91809,1.78573,3.81515,1.60404,0.00429,0.24842,0.00233,0.00066,1.36701,3.79381,1.41763,7.145e-05,7.145e-05,7.145e-05
2,5.39349,1.55941,3.51969,1.39734,0.02051,0.27883,0.01779,0.00498,1.10562,3.51222,1.08092,0.000156671,0.000156671,0.000156671
3,6.95599,1.31487,2.53326,1.18365,0.09488,0.46184,0.18168,0.11754,1.09539,3.19192,1.06726,0.000241327,0.000241327,0.000241327
4,8.49729,1.22213,1.97104,1.10215,0.1331,0.56377,0.31071,0.21868,1.07096,2.88478,1.06627,0.000325416,0.000325416,0.000325416
5,9.92556,1.13038,1.47174,1.06283,0.13587,0.56976,0.31231,0.22473,1.04314,2.65471,1.04262,0.00040894,0.00040894,0.00040894
6,11.3511,1.08805,1.22115,1.05828,0.98142,0.24369,0.30662,0.22203,1.09705,2.11021,1.04728,0.000491898,0.000491898,0.000491898
7,12.7296,1.03889,1.13583,1.05264,0.96821,0.27458,0.32114,0.2363,1.01569,1.4731,1.00323,0.000574289,0.000574289,0.000574289
8,14.1,0.99186,1.03202,1.04057,0.9761,0.31775,0.34216,0.24998,1.00257,1.2243,0.99446,0.000656115,0.000656115,0.000656115
9,15.4882,1.00157,0.97725,1.03389,0.97385,0.32494,0.34265,0.2465,1.02561,1.13068,0.98339,0.000737375,0.000737375,0.000737375
10,16.9612,0.98542,0.96006,1.02541,0.96454,0.32229,0.34424,0.25357,0.99947,1.04435,1.0058,0.00081807,0.00081807,0.00081807
11,18.3561,1.01004,0.93589,1.02003,0.64235,0.44855,0.35136,0.25893,0.95799,1.05857,0.97122,0.000898198,0.000898198,0.000898198
12,19.706,0.95026,0.90065,0.99995,0.66266,0.41798,0.36729,0.26425,0.94031,0.97953,0.97375,0.00097776,0.00097776,0.00097776
13,21.0578,0.91397,0.84502,0.99554,0.73895,0.41796,0.40836,0.29177,0.93089,0.86341,0.98643,0.00105676,0.00105676,0.00105676
14,22.4338,0.8918,0.7907,1.00326,0.78029,0.45335,0.44064,0.31676,0.9492,0.85187,0.99829,0.00113519,0.00113519,0.00113519
15,23.7724,0.97205,0.80298,1.01836,0.74192,0.42424,0.43909,0.32275,0.90546,0.85783,0.98735,0.00121305,0.00121305,0.00121305
16,25.1259,0.8978,0.81353,1.00693,0.50867,0.45933,0.49003,0.33565,0.93625,0.84885,1.00031,0.00129035,0.00129035,0.00129035
17,26.4434,0.87212,0.76102,0.97694,0.41013,0.48166,0.48558,0.33366,0.89433,0.80096,1.00016,0.00135355,0.00135355,0.00135355
18,27.8132,0.90654,0.75039,0.99831,0.59218,0.65555,0.57467,0.35687,0.8709,0.73222,1.00681,0.00134883,0.00134883,0.00134883
19,29.2655,0.88143,0.74487,0.99876,0.64669,0.64223,0.61158,0.36657,0.88716,0.72534,0.99741,0.00134412,0.00134412,0.00134412
20,30.6596,0.9097,0.75808,0.99316,0.65275,0.68459,0.60591,0.38857,0.89448,0.72611,1.02428,0.0013394,0.0013394,0.0013394
21,32.0193,0.94574,0.73153,1.0232,0.58056,0.63633,0.5602,0.37865,0.89329,0.74504,1.02391,0.00133469,0.00133469,0.00133469
22,33.352,0.85536,0.70451,0.98169,0.59766,0.55064,0.54163,0.36218,0.8693,0.69507,0.98587,0.00132997,0.00132997,0.00132997
23,34.7406,0.86028,0.71355,0.98875,0.68201,0.59707,0.6147,0.41632,0.80025,0.66833,0.97136,0.00132525,0.00132525,0.00132525
24,36.0676,0.85394,0.74551,0.97651,0.64898,0.70434,0.62632,0.42333,0.85501,0.67619,1.00462,0.00132054,0.00132054,0.00132054
25,37.4335,0.88285,0.74156,1.0157,0.60976,0.68461,0.61148,0.43048,0.82459,0.68346,0.96947,0.00131582,0.00131582,0.00131582
26,38.7485,0.8556,0.68647,0.98539,0.73314,0.49051,0.56008,0.40435,0.83124,0.75111,0.98343,0.00131111,0.00131111,0.00131111
27,39.9945,0.86128,0.6817,0.98129,0.52183,0.67663,0.56699,0.39995,0.85989,0.72432,1.00952,0.00130639,0.00130639,0.00130639
28,41.2568,0.81992,0.65506,0.96093,0.61407,0.61532,0.60094,0.41578,0.85339,0.69304,0.98625,0.00130168,0.00130168,0.00130168
29,42.4683,0.80257,0.6488,0.96848,0.63603,0.62953,0.62804,0.40926,0.81376,0.65578,0.97775,0.00129696,0.00129696,0.00129696
30,43.6929,0.82524,0.6628,0.99021,0.59553,0.66191,0.63458,0.39303,0.86022,0.68644,1.01084,0.00129224,0.00129224,0.00129224
31,44.9176,0.82856,0.64956,0.98624,0.59403,0.64832,0.6228,0.39768,0.86853,0.69447,1.01271,0.00128753,0.00128753,0.00128753
32,46.1709,0.79596,0.64244,0.95307,0.74936,0.63796,0.65831,0.41722,0.82096,0.67935,0.98155,0.00128281,0.00128281,0.00128281
33,47.4257,0.81788,0.62808,0.96577,0.74967,0.63751,0.69258,0.42166,0.80773,0.67422,0.97445,0.0012781,0.0012781,0.0012781
34,48.72,0.80601,0.64067,0.965,0.72443,0.6543,0.71131,0.45631,0.82084,0.63966,0.98006,0.00127338,0.00127338,0.00127338
35,49.9969,0.79845,0.60169,0.94904,0.84652,0.63089,0.74271,0.49578,0.80116,0.63725,0.97188,0.00126867,0.00126867,0.00126867
