epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.03633,0.20951,2.5742,1.13776,0.61973,0.4338,0.36894,0.20476,0.1915,2.82241,1.04802,0.00031438,0.00031438,0.00031438
2,13.5713,0.16064,1.35978,0.95219,0.03794,0.34356,0.03368,0.02106,0.1612,255.599,1.05041,0.000642893,0.000642893,0.000642893
3,19.6265,0.15501,1.50263,0.94948,0.45702,0.32974,0.16773,0.10391,0.1537,126.101,1.03007,0.000970771,0.000970771,0.000970771
4,25.4024,0.15517,1.82367,0.98197,0.59409,0.36558,0.35787,0.23662,0.14377,3.67256,1.0228,0.00129753,0.00129753,0.00129753
5,31.3843,0.16328,1.48651,1.00097,0.435,0.4716,0.11538,0.0409,0.2212,329.813,1.46195,0.00142342,0.00142342,0.00142342
6,37.2309,0.15729,1.33443,1.0276,0.00352,0.03237,0.00034,0.00018,0.19011,13345.2,2.98954,0.00142029,0.00142029,0.00142029
7,43.2372,0.15933,1.30556,1.04383,0.00485,0.04556,0.00066,0.00039,0.34864,4986.96,44.1084,0.00141647,0.00141647,0.00141647
8,49.115,0.1518,1.18312,0.9861,0.58081,0.24884,0.29867,0.15579,0.20253,4.02738,1.47221,0.00141196,0.00141196,0.00141196
9,55.0549,0.17282,1.1583,1.12483,0.33872,0.30353,0.31494,0.15599,0.19923,5.03476,1.36287,0.00140678,0.00140678,0.00140678
10,60.9813,0.18554,1.28925,1.21453,0.4171,0.29875,0.06631,0.02945,0.23811,13.1319,1.57362,0.00140091,0.00140091,0.00140091
11,66.6167,0.16377,1.27359,1.03759,0.39381,0.11862,0.01298,0.00607,0.29993,385.469,1.99095,0.00139438,0.00139438,0.00139438
12,72.4431,0.15899,1.11208,1.0121,0.34493,0.13776,0.00275,0.00141,0.33697,5398.72,8.27926,0.00138718,0.00138718,0.00138718
13,78.2358,0.15711,1.08153,1.0279,0.06433,0.39095,0.06578,0.03127,0.19274,32.0015,1.3459,0.00137933,0.00137933,0.00137933
14,84.0854,0.15421,1.05074,0.97952,0.3476,0.4533,0.3719,0.18856,0.19034,1.25013,1.31011,0.00137082,0.00137082,0.00137082
15,89.8567,0.15599,1.07659,1.07371,0.77435,0.52609,0.49225,0.26433,0.18123,1.16616,1.24984,0.00136168,0.00136168,0.00136168
16,95.6837,0.15131,0.96646,0.9943,0.87206,0.48036,0.48928,0.30184,0.14879,1.09779,1.06854,0.0013519,0.0013519,0.0013519
17,101.573,0.14719,1.00192,0.95275,0.82969,0.43247,0.45992,0.26576,0.1626,0.97082,1.11898,0.0013415,0.0013415,0.0013415
18,107.516,0.15015,1.00622,1.00077,0.86617,0.48385,0.55031,0.29562,0.15308,0.88035,1.05921,0.0013305,0.0013305,0.0013305
19,113.466,0.14494,0.91161,0.95261,0.88888,0.50145,0.52124,0.3037,0.1487,0.89817,1.05502,0.00131888,0.00131888,0.00131888
20,119.547,0.14399,0.89812,0.94045,0.78493,0.50397,0.55263,0.27641,0.17954,1.08508,1.20322,0.00130668,0.00130668,0.00130668
21,125.773,0.14014,0.91458,0.9614,0.93126,0.47605,0.56562,0.36692,0.13777,0.84405,0.99738,0.00129391,0.00129391,0.00129391
22,132.028,0.1462,1.92535,0.9804,0.79556,0.48769,0.55124,0.30594,0.15521,0.8862,1.07929,0.00128057,0.00128057,0.00128057
23,138.034,0.13657,0.84603,0.95032,0.83462,0.51734,0.57917,0.31866,0.15242,0.89698,1.06661,0.00126667,0.00126667,0.00126667
24,143.931,0.13993,0.84928,0.93844,0.86887,0.53624,0.63193,0.37849,0.14693,0.8593,1.04449,0.00125224,0.00125224,0.00125224
25,149.955,0.14556,0.91758,0.9762,0.87249,0.54386,0.65218,0.35751,0.15876,0.96302,1.10814,0.00123728,0.00123728,0.00123728
26,155.842,0.14032,0.84334,0.95371,0.92709,0.50375,0.60907,0.3773,0.12334,0.77454,0.92968,0.00122182,0.00122182,0.00122182
27,161.683,0.13175,0.80758,0.92559,0.8712,0.51001,0.63323,0.3571,0.14014,0.78204,1.00774,0.00120586,0.00120586,0.00120586
28,167.346,0.13163,0.78373,0.92295,0.58477,0.62201,0.63731,0.32942,0.16063,0.80987,1.13986,0.00118943,0.00118943,0.00118943
29,173.128,0.13211,0.79538,0.91245,0.63354,0.68592,0.65717,0.38803,0.14607,0.72252,1.02119,0.00117253,0.00117253,0.00117253
30,179.139,0.13278,0.76829,0.91596,0.78526,0.60447,0.66224,0.37322,0.14873,0.75322,1.03152,0.00115519,0.00115519,0.00115519
31,184.845,0.13358,0.76919,0.88756,0.92974,0.53807,0.57111,0.3099,0.17727,0.82044,1.19283,0.00113742,0.00113742,0.00113742
32,190.715,0.1418,0.81305,0.94618,0.91493,0.53822,0.55166,0.32833,0.16045,0.79279,1.11586,0.00111924,0.00111924,0.00111924
33,196.503,0.12763,0.74687,0.89538,0.89833,0.48609,0.55198,0.36561,0.12603,0.72635,0.96048,0.00110066,0.00110066,0.00110066
34,202.437,0.13292,0.7658,0.92756,0.95544,0.50421,0.59165,0.36466,0.15256,0.75064,1.06585,0.00108172,0.00108172,0.00108172
35,208.192,0.13239,0.78323,0.89547,0.95097,0.54026,0.60614,0.36956,0.14962,0.72391,1.05558,0.00106242,0.00106242,0.00106242
36,213.946,0.13436,0.76067,0.90857,0.9648,0.51302,0.57505,0.39257,0.12009,0.73446,0.92132,0.00104278,0.00104278,0.00104278
37,219.925,0.12811,0.7117,0.87513,0.68258,0.60425,0.62008,0.32339,0.17375,0.84246,1.16867,0.00102282,0.00102282,0.00102282
38,225.944,0.1306,0.72832,0.88779,0.87765,0.52737,0.57425,0.36942,0.12384,0.7265,0.92978,0.00100257,0.00100257,0.00100257
39,231.948,0.13114,0.73305,0.92106,0.92519,0.49079,0.57904,0.37497,0.12646,0.69765,0.94743,0.00098204,0.00098204,0.00098204
40,237.693,0.1256,0.7017,0.89517,0.758,0.55422,0.61849,0.33168,0.16164,0.73539,1.10555,0.000961253,0.000961253,0.000961253
41,243.329,0.12727,0.68935,0.90733,0.81077,0.58811,0.64086,0.33929,0.15191,0.71002,1.06309,0.00094023,0.00094023,0.00094023
42,249.214,0.12885,0.69576,0.90147,0.69077,0.60791,0.64927,0.41803,0.11515,0.64495,0.91668,0.000918991,0.000918991,0.000918991
43,255.307,0.135,0.71924,0.92226,0.71724,0.6084,0.65417,0.40145,0.13267,0.66308,0.98703,0.000897557,0.000897557,0.000897557
44,261.256,0.13434,0.73714,0.91359,0.51372,0.6571,0.65658,0.37917,0.15919,0.71378,1.10997,0.00087595,0.00087595,0.00087595
45,267.027,0.12469,0.72031,0.89416,0.95086,0.51193,0.63117,0.39524,0.13509,0.68479,0.98448,0.00085419,0.00085419,0.00085419
46,272.93,0.12885,0.70332,0.9016,0.49636,0.6571,0.64106,0.40817,0.12639,0.64927,0.94247,0.0008323,0.0008323,0.0008323
47,278.723,0.12729,0.70387,0.92311,0.61434,0.6529,0.67844,0.40837,0.13283,0.70845,0.96759,0.0008103,0.0008103,0.0008103
48,284.498,0.11864,0.65317,0.86591,0.68026,0.63477,0.65077,0.37629,0.14086,0.65095,1.0077,0.000788213,0.000788213,0.000788213
49,290.202,0.12098,0.67301,0.85228,0.84992,0.56639,0.61446,0.37648,0.12215,0.62046,0.92538,0.00076606,0.00076606,0.00076606
50,295.83,0.11886,0.66488,0.87566,0.76154,0.57176,0.63093,0.39379,0.11598,0.61768,0.90474,0.000743864,0.000743864,0.000743864
51,301.572,0.12018,0.6658,0.85161,0.6378,0.56961,0.59843,0.38104,0.11719,0.63568,0.91236,0.000721645,0.000721645,0.000721645
52,307.506,0.12131,0.67205,0.87254,0.60432,0.60327,0.64801,0.40488,0.1169,0.61281,0.91057,0.000699426,0.000699426,0.000699426
53,313.472,0.11732,0.63557,0.85008,0.71031,0.60329,0.65636,0.41033,0.11815,0.62875,0.91263,0.00067723,0.00067723,0.00067723
54,319.281,0.12036,0.66037,0.88566,0.59992,0.59909,0.62836,0.40028,0.11832,0.64727,0.90773,0.000655077,0.000655077,0.000655077
55,325.114,0.11496,0.63527,0.86819,0.53803,0.63835,0.62474,0.39042,0.1174,0.64042,0.90624,0.00063299,0.00063299,0.00063299
56,330.988,0.11693,0.62045,0.85518,0.59314,0.60447,0.61875,0.4,0.12671,0.61257,0.94643,0.00061099,0.00061099,0.00061099
57,336.93,0.1214,0.66711,0.85738,0.67587,0.58692,0.61751,0.40352,0.12267,0.62342,0.926,0.0005891,0.0005891,0.0005891
58,342.706,0.11846,0.63424,0.85567,0.58672,0.58692,0.63531,0.43049,0.12264,0.63048,0.92437,0.00056734,0.00056734,0.00056734
59,348.688,0.11969,0.63896,0.88495,0.66996,0.60447,0.64776,0.40538,0.13832,0.63996,0.99323,0.000545733,0.000545733,0.000545733
60,354.403,0.11583,0.631,0.8361,0.4955,0.62201,0.6435,0.41282,0.13141,0.64538,0.96237,0.000524299,0.000524299,0.000524299
