epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.93456,0.17135,1.6171,1.04934,0.65501,0.40231,0.28926,0.17697,0.17645,1.79775,1.19807,0.00031438,0.00031438,0.00031438
2,13.5962,0.15965,1.06014,1.00703,0.0263,0.26606,0.01669,0.00652,0.2163,16.3309,1.38741,0.000642893,0.000642893,0.000642893
3,19.8109,0.1523,1.01145,0.9606,0.84957,0.47824,0.50894,0.29401,0.17107,0.9396,1.15679,0.000970771,0.000970771,0.000970771
4,25.8897,0.14919,0.98601,0.98839,0.55877,0.51624,0.52349,0.31886,0.15081,0.91295,1.05208,0.00129753,0.00129753,0.00129753
5,31.8561,0.14308,0.83971,0.94724,0.62356,0.50158,0.295,0.1625,0.17697,1.73738,1.17853,0.00142342,0.00142342,0.00142342
6,37.6702,0.13714,0.84887,0.92833,0.87186,0.49955,0.50632,0.28144,0.1629,0.90553,1.11807,0.00142029,0.00142029,0.00142029
7,43.5842,0.14339,0.87748,0.96135,0.4979,0.54403,0.51912,0.27705,0.16943,0.96141,1.15449,0.00141647,0.00141647,0.00141647
8,49.4804,0.13903,0.80452,0.91043,0.9386,0.48763,0.53071,0.32748,0.13681,0.77195,1.05271,0.00141196,0.00141196,0.00141196
9,55.5292,0.13823,0.79347,0.9366,0.56789,0.51913,0.51728,0.33385,0.1362,2.90023,1.05417,0.00140678,0.00140678,0.00140678
10,61.5714,0.13365,0.81699,0.93656,0.55221,0.54344,0.54035,0.32281,0.1558,1.78684,1.11959,0.00140091,0.00140091,0.00140091
11,67.1968,0.13255,0.78011,0.88787,0.52846,0.53896,0.52238,0.31316,0.1563,2.26831,1.09891,0.00139438,0.00139438,0.00139438
12,73.1911,0.13045,0.71402,0.8756,0.56129,0.53983,0.53942,0.32085,0.1486,0.83555,1.02456,0.00138718,0.00138718,0.00138718
13,79.3222,0.13745,0.73974,0.91537,0.62475,0.58572,0.58704,0.3441,0.14338,0.73978,1.00175,0.00137933,0.00137933,0.00137933
14,85.7887,0.13396,0.71156,0.87568,0.6136,0.57286,0.54403,0.29694,0.17858,0.82992,1.16523,0.00137082,0.00137082,0.00137082
15,91.858,0.13791,0.78569,0.95967,0.5449,0.54459,0.53553,0.31754,0.15133,0.85794,1.02998,0.00136168,0.00136168,0.00136168
16,97.8259,0.13118,0.71591,0.88653,0.70162,0.54392,0.56061,0.35583,0.13278,0.82349,0.94721,0.0013519,0.0013519,0.0013519
17,103.915,0.13032,0.70793,0.86843,0.5494,0.58692,0.60073,0.37353,0.13545,0.68528,0.95907,0.0013415,0.0013415,0.0013415
18,110.203,0.1279,0.71168,0.88908,0.50334,0.58572,0.59007,0.36702,0.14079,0.6846,0.99043,0.0013305,0.0013305,0.0013305
19,116.329,0.13281,0.69688,0.87986,0.59809,0.58572,0.59289,0.37178,0.14858,0.73304,1.03504,0.00131888,0.00131888,0.00131888
20,122.143,0.12813,0.686,0.85881,0.57302,0.58421,0.55532,0.35449,0.1446,0.90595,1.01829,0.00130668,0.00130668,0.00130668
21,127.951,0.12604,0.71447,0.87409,0.69362,0.55133,0.59698,0.37106,0.13947,0.76139,0.99092,0.00129391,0.00129391,0.00129391
22,133.795,0.13371,1.68062,0.92826,0.62285,0.58692,0.62919,0.38096,0.13492,0.62786,0.96056,0.00128057,0.00128057,0.00128057
23,139.755,0.12736,0.67571,0.88365,0.55048,0.60317,0.5862,0.36328,0.13531,0.66241,0.96233,0.00126667,0.00126667,0.00126667
24,145.594,0.1307,0.6877,0.8757,0.74264,0.57771,0.62406,0.40009,0.13257,0.64368,0.95015,0.00125224,0.00125224,0.00125224
25,151.521,0.12956,0.705,0.88177,0.7956,0.5477,0.62163,0.39256,0.14224,0.70057,1.00028,0.00123728,0.00123728,0.00123728
26,157.251,0.12618,0.6643,0.87035,0.49177,0.58677,0.57363,0.37913,0.12797,0.63166,0.94026,0.00122182,0.00122182,0.00122182
27,162.86,0.1218,0.63005,0.86006,0.9503,0.47564,0.56622,0.37665,0.12886,0.65321,0.94484,0.00120586,0.00120586,0.00120586
28,168.468,0.12316,0.64409,0.86553,0.90339,0.50667,0.56978,0.35594,0.13892,0.64544,0.9832,0.00118943,0.00118943,0.00118943
