epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4777,0.23856,3.84539,1.41775,0.59091,0.18083,0.12599,0.04951,0.23154,4.08181,1.32743,0.000234281,0.000234281,0.000234281
2,30.2942,0.22124,3.00478,1.27382,0.64842,0.09944,0.13547,0.06025,0.22894,18.7954,1.27665,0.000472166,0.000472166,0.000472166
3,44.8846,0.22909,2.86711,1.3068,0.58958,0.1473,0.22282,0.09439,0.23462,4.14894,1.304,0.000709587,0.000709587,0.000709587
4,59.42,0.22697,2.67383,1.30438,0.40889,0.29428,0.25994,0.10051,0.23932,2.67424,1.34192,0.000712431,0.000712431,0.000712431
5,73.633,0.21682,2.47492,1.26145,0.57319,0.23075,0.27094,0.12318,0.22717,2.56596,1.33708,0.000711213,0.000711213,0.000711213
6,88.0941,0.21822,2.36962,1.2854,0.49124,0.27389,0.28038,0.11667,0.23334,2.25151,1.33131,0.000709649,0.000709649,0.000709649
7,101.987,0.223,2.40913,1.28171,0.48027,0.24811,0.25171,0.10865,0.23105,2.75375,1.36987,0.00070774,0.00070774,0.00070774
8,116.111,0.21784,2.33493,1.26807,0.5264,0.26089,0.25704,0.10259,0.23476,2.25792,1.37657,0.000705488,0.000705488,0.000705488
9,130.398,0.21747,2.30908,1.27731,0.36709,0.3309,0.25493,0.09881,0.23659,2.28188,1.33717,0.000702896,0.000702896,0.000702896
10,144.198,0.21712,2.35636,1.24258,0.53815,0.26002,0.29729,0.13407,0.21803,2.10484,1.26848,0.000699967,0.000699967,0.000699967
11,157.892,0.21405,2.2452,1.23312,0.56632,0.29441,0.31862,0.14509,0.21309,1.95268,1.22559,0.000696702,0.000696702,0.000696702
12,171.977,0.21465,2.14137,1.24342,0.34702,0.33604,0.30495,0.13433,0.21368,1.93804,1.21732,0.000693105,0.000693105,0.000693105
13,185.861,0.21185,2.17175,1.23643,0.40469,0.29309,0.30401,0.12478,0.24009,2.26529,1.33685,0.000689181,0.000689181,0.000689181
14,199.489,0.20671,2.06079,1.21287,0.35654,0.33733,0.33105,0.1313,0.22219,1.92224,1.26697,0.000684932,0.000684932,0.000684932
15,213.054,0.20468,2.03884,1.21601,0.37765,0.30475,0.32627,0.14638,0.20247,1.96972,1.22217,0.000680363,0.000680363,0.000680363
16,226.972,0.20976,2.15953,1.24909,0.31216,0.26042,0.2748,0.11458,0.23846,1.99891,1.35711,0.000675478,0.000675478,0.000675478
17,240.678,0.20569,2.04145,1.23659,0.31566,0.35064,0.31556,0.13406,0.21582,1.99801,1.27355,0.000670283,0.000670283,0.000670283
18,254.296,0.21102,2.07277,1.24303,0.35556,0.33015,0.32988,0.14248,0.21725,2.16111,1.24284,0.000664782,0.000664782,0.000664782
19,267.817,0.19909,1.99159,1.20137,0.39768,0.3043,0.32598,0.13967,0.22271,1.89871,1.27549,0.000658981,0.000658981,0.000658981
20,281.52,0.20806,2.06762,1.24344,0.33023,0.32283,0.32044,0.1274,0.22211,2.06526,1.29687,0.000652885,0.000652885,0.000652885
21,294.987,0.20164,2.06924,1.22343,0.34344,0.35866,0.3314,0.1354,0.22384,2.02056,1.27699,0.000646501,0.000646501,0.000646501
22,308.704,0.19884,1.90603,1.20289,0.40505,0.31821,0.33838,0.15642,0.20762,1.90053,1.18512,0.000639834,0.000639834,0.000639834
23,322.524,0.20122,1.97156,1.19903,0.37368,0.3359,0.34402,0.13889,0.23718,2.02934,1.32016,0.000632892,0.000632892,0.000632892
24,336.154,0.20302,1.94602,1.20914,0.44149,0.36213,0.33605,0.14044,0.21542,1.75445,1.26117,0.000625682,0.000625682,0.000625682
25,349.733,0.20324,1.95966,1.21891,0.44259,0.41004,0.37029,0.16452,0.22166,1.75285,1.2648,0.000618209,0.000618209,0.000618209
26,363.702,0.19744,1.86872,1.1993,0.52942,0.34614,0.33866,0.14008,0.22737,1.75609,1.27,0.000610483,0.000610483,0.000610483
