epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2777,0.17125,1.56609,0.98625,0.7712,0.80328,0.82055,0.4723,0.15995,1.26309,0.92509,0.000552711,0.000552711,0.000552711
2,86.6419,0.1492,1.0952,0.89859,0.81083,0.85872,0.88402,0.55085,0.14488,0.94857,0.87707,0.00110811,0.00110811,0.00110811
3,128.165,0.15721,1.13231,0.92887,0.78741,0.82634,0.86724,0.50074,0.15918,1.09523,0.92167,0.00166242,0.00166242,0.00166242
4,168.834,0.14977,1.04422,0.89985,0.81701,0.85547,0.89855,0.55877,0.14476,0.94434,0.8868,0.00166334,0.00166334,0.00166334
5,222.102,0.14858,0.98826,0.90437,0.81455,0.87211,0.90375,0.56083,0.15014,0.89092,0.89774,0.00166049,0.00166049,0.00166049
6,290.225,0.14239,0.94215,0.88116,0.82731,0.8796,0.90979,0.59326,0.13835,0.87295,0.85796,0.00165684,0.00165684,0.00165684
7,363.355,0.14308,0.92299,0.87755,0.82613,0.87192,0.91318,0.57661,0.14514,0.84544,0.87813,0.00165238,0.00165238,0.00165238
8,435.475,0.14285,0.90959,0.87878,0.82997,0.86504,0.90932,0.5807,0.14039,0.91016,0.87509,0.00164713,0.00164713,0.00164713
9,514.275,0.14446,0.91895,0.87673,0.83355,0.87056,0.91586,0.58414,0.14203,0.85658,0.86285,0.00164108,0.00164108,0.00164108
10,595.363,0.13986,0.89126,0.8688,0.8544,0.8741,0.92237,0.56203,0.14976,0.81571,0.88755,0.00163424,0.00163424,0.00163424
11,673.8,0.13879,0.86803,0.86455,0.85394,0.8808,0.93055,0.58503,0.14296,0.79188,0.86238,0.00162661,0.00162661,0.00162661
12,750.65,0.14084,0.89298,0.87499,0.83162,0.87615,0.92242,0.59373,0.14072,0.81539,0.85787,0.00161822,0.00161822,0.00161822
13,837.338,0.1387,0.86344,0.86999,0.84531,0.87911,0.92721,0.57062,0.14798,0.80505,0.88668,0.00160905,0.00160905,0.00160905
14,916.636,0.13864,0.85599,0.86716,0.84772,0.88715,0.92668,0.59633,0.1413,0.79195,0.86815,0.00159913,0.00159913,0.00159913
15,995.619,0.13805,0.83734,0.86063,0.84327,0.88179,0.92841,0.58531,0.1458,0.79157,0.87995,0.00158847,0.00158847,0.00158847
16,1083.05,0.13898,0.84134,0.86998,0.83564,0.88171,0.91814,0.59087,0.13809,0.80694,0.85972,0.00157706,0.00157706,0.00157706
17,1163.93,0.13684,0.83377,0.86622,0.84433,0.87966,0.92555,0.60453,0.13686,0.78493,0.87035,0.00156493,0.00156493,0.00156493
18,1241.55,0.13905,0.83336,0.87617,0.8356,0.89053,0.92397,0.59975,0.1399,0.79174,0.8663,0.00155209,0.00155209,0.00155209
19,1330.58,0.13641,0.81928,0.86337,0.83694,0.87126,0.91982,0.60112,0.13639,0.82032,0.84977,0.00153854,0.00153854,0.00153854
20,1418.7,0.13689,0.82211,0.86205,0.84992,0.8808,0.9297,0.59171,0.14263,0.77899,0.86901,0.00152431,0.00152431,0.00152431
21,1506.16,0.13763,0.81339,0.8678,0.83704,0.87452,0.918,0.59064,0.14035,0.80619,0.8797,0.00150941,0.00150941,0.00150941
22,1547.15,0.13601,0.81179,0.85874,0.83912,0.86911,0.92079,0.60477,0.13636,0.77879,0.84423,0.00149384,0.00149384,0.00149384
23,1588.11,0.13563,0.80435,0.86039,0.8615,0.87467,0.92885,0.60627,0.13748,0.77676,0.8636,0.00147764,0.00147764,0.00147764
24,1629.01,0.13486,0.78494,0.85171,0.85474,0.8886,0.93314,0.60927,0.1364,0.76109,0.85562,0.0014608,0.0014608,0.0014608
25,1669.77,0.13493,0.79798,0.86057,0.83613,0.88321,0.92693,0.59487,0.14209,0.77787,0.87108,0.00144335,0.00144335,0.00144335
26,1710.53,0.1348,0.7977,0.85632,0.85138,0.88402,0.92787,0.61396,0.13521,0.7426,0.84715,0.00142531,0.00142531,0.00142531
27,1751.26,0.13489,0.79412,0.85748,0.84459,0.87446,0.92122,0.61,0.13464,0.77383,0.86878,0.0014067,0.0014067,0.0014067
28,1792.21,0.13602,0.79268,0.86476,0.85708,0.88636,0.93005,0.57375,0.14933,0.75891,0.905,0.00138753,0.00138753,0.00138753
29,1832.99,0.13388,0.78395,0.85175,0.85358,0.88442,0.93255,0.59629,0.14308,0.75272,0.86981,0.00136781,0.00136781,0.00136781
30,1873.09,0.13398,0.77195,0.86057,0.85259,0.90063,0.93639,0.61248,0.1375,0.72463,0.86796,0.00134758,0.00134758,0.00134758
31,1913.71,0.13228,0.77144,0.8515,0.86513,0.89851,0.93613,0.61257,0.13761,0.71142,0.85267,0.00132685,0.00132685,0.00132685
32,1954.59,0.13289,0.77888,0.85216,0.86049,0.88862,0.93577,0.60009,0.14263,0.74408,0.8835,0.00130565,0.00130565,0.00130565
33,1995.13,0.13492,0.77095,0.85727,0.86378,0.88184,0.93041,0.62391,0.13209,0.72652,0.84209,0.00128398,0.00128398,0.00128398
34,2035.87,0.13409,0.75742,0.86122,0.85686,0.90266,0.93505,0.60049,0.14168,0.72172,0.88199,0.00126188,0.00126188,0.00126188
35,2076.4,0.13273,0.75484,0.85652,0.85757,0.90399,0.93859,0.61814,0.13627,0.70359,0.8612,0.00123936,0.00123936,0.00123936
36,2116.96,0.13199,0.75039,0.84346,0.85153,0.8916,0.93263,0.62137,0.13297,0.71316,0.84155,0.00121645,0.00121645,0.00121645
37,2156.95,0.13257,0.74882,0.84111,0.86315,0.87878,0.92992,0.62171,0.13274,0.71166,0.85454,0.00119317,0.00119317,0.00119317
38,2196.95,0.13279,0.75335,0.85275,0.84741,0.8976,0.9296,0.62186,0.13342,0.71947,0.85877,0.00116955,0.00116955,0.00116955
39,2236.84,0.13143,0.74768,0.85005,0.85216,0.88777,0.92928,0.61384,0.13388,0.71848,0.85995,0.0011456,0.0011456,0.0011456
40,2277.01,0.13072,0.73138,0.84476,0.86227,0.88555,0.93135,0.61674,0.13458,0.72753,0.85272,0.00112135,0.00112135,0.00112135
41,2317.01,0.13157,0.74503,0.85029,0.85944,0.89582,0.9364,0.60897,0.13963,0.71242,0.8906,0.00109683,0.00109683,0.00109683
42,2357.11,0.12984,0.72688,0.84605,0.8638,0.89341,0.93447,0.62393,0.13307,0.69906,0.84772,0.00107205,0.00107205,0.00107205
43,2397.31,0.13012,0.73517,0.84193,0.83777,0.89028,0.91888,0.60809,0.13601,0.75228,0.85876,0.00104705,0.00104705,0.00104705
44,2437.24,0.12996,0.73437,0.84705,0.85837,0.89906,0.93069,0.60418,0.14034,0.7115,0.87106,0.00102184,0.00102184,0.00102184
