epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,411.277,0.10479,0.19979,1.44195,0.8832,0,0.85545,0.80147,0.88196,0.52786,0.8512,0.81197,0.88653,0.64138,0.13305,0.16085,1.69897,1.07323,0,0.000415934,0.000415934,0.000415934
2,759.745,0.11409,0.20365,1.2404,0.90317,0,0.82259,0.7695,0.86456,0.59153,0.84672,0.76592,0.87428,0.648,0.11437,0.14957,1.18335,0.99061,0,0.000832398,0.000832398,0.000832398
3,1099.19,0.11137,0.19995,1.17189,0.89641,0,0.88557,0.84544,0.92931,0.68043,0.88019,0.85656,0.92809,0.72185,0.10029,0.1334,0.93388,0.87137,0,0.00124805,0.00124805,0.00124805
4,1414.51,0.10658,0.19934,1.11512,0.88779,0,0.8965,0.91492,0.96152,0.73812,0.89753,0.91597,0.95947,0.75667,0.08781,0.12646,0.7863,0.8288,0,0.00124725,0.00124725,0.00124725
5,1727.84,0.10171,0.19111,1.03159,0.86282,0,0.90206,0.90441,0.95089,0.74508,0.90057,0.90126,0.947,0.75487,0.08441,0.12513,0.82138,0.80041,0,0.00124512,0.00124512,0.00124512
6,2042.05,0.09825,0.18579,0.9865,0.84395,0,0.91152,0.90441,0.95593,0.75325,0.91258,0.90546,0.95465,0.76657,0.08161,0.1206,0.74182,0.77504,0,0.00124238,0.00124238,0.00124238
7,2357.95,0.09653,0.18692,0.97861,0.84258,0,0.91356,0.91597,0.96659,0.75787,0.9146,0.91702,0.96605,0.76841,0.08211,0.11696,0.70616,0.78846,0,0.00123904,0.00123904,0.00123904
8,2680.95,0.09265,0.18298,0.91994,0.82391,0,0.8995,0.9308,0.96875,0.77225,0.90192,0.92733,0.96417,0.77593,0.07948,0.11944,0.66386,0.76491,0,0.0012351,0.0012351,0.0012351
9,3003,0.08936,0.17953,0.87965,0.81357,0,0.91133,0.90683,0.96211,0.76007,0.90889,0.91176,0.95911,0.76983,0.07995,0.11908,0.6934,0.78021,0,0.00123056,0.00123056,0.00123056
10,3323.91,0.08973,0.17501,0.893,0.81505,0,0.93457,0.89391,0.96436,0.74657,0.93608,0.89391,0.9676,0.77128,0.08341,0.11253,0.6891,0.78819,0,0.00122543,0.00122543,0.00122543
11,3640.81,0.08549,0.17125,0.85175,0.80274,0,0.92251,0.92122,0.96826,0.79054,0.9318,0.91853,0.9705,0.78345,0.07378,0.11094,0.60013,0.72616,0,0.00121972,0.00121972,0.00121972
12,3952.04,0.08521,0.16682,0.81633,0.79353,0,0.93212,0.91282,0.97166,0.79311,0.92696,0.91702,0.96754,0.79494,0.07492,0.11332,0.58089,0.73086,0,0.00121342,0.00121342,0.00121342
13,4265.81,0.0844,0.16868,0.81475,0.78785,0,0.93129,0.92547,0.97557,0.7961,0.92837,0.92581,0.97528,0.78516,0.0713,0.1106,0.55122,0.71943,0,0.00120655,0.00120655,0.00120655
14,4579.69,0.08149,0.1652,0.77956,0.78262,0,0.94223,0.9251,0.97827,0.81788,0.94097,0.92086,0.97411,0.79388,0.06857,0.1114,0.53673,0.70439,0,0.00119911,0.00119911,0.00119911
15,4894.64,0.08418,0.16812,0.79017,0.79465,0,0.93245,0.92792,0.97433,0.79367,0.93738,0.91912,0.96899,0.79632,0.07327,0.10812,0.56017,0.70848,0,0.00119111,0.00119111,0.00119111
16,5210.33,0.08076,0.16646,0.76373,0.78137,0,0.9068,0.92542,0.97422,0.81797,0.91889,0.91492,0.97301,0.79206,0.06679,0.10927,0.53561,0.69425,0,0.00118256,0.00118256,0.00118256
17,5532.24,0.08034,0.16289,0.7634,0.77752,0,0.94029,0.92857,0.97536,0.82352,0.93816,0.92647,0.9696,0.80114,0.0662,0.11024,0.50882,0.68543,0,0.00117346,0.00117346,0.00117346
18,5852.93,0.07864,0.15969,0.73286,0.76864,0,0.92798,0.9609,0.98251,0.81989,0.92493,0.95775,0.97788,0.80409,0.06709,0.10723,0.48879,0.68513,0,0.00116383,0.00116383,0.00116383
19,6172.27,0.07862,0.16198,0.73702,0.7713,0,0.95167,0.92752,0.98196,0.80443,0.94844,0.92437,0.97919,0.80707,0.06878,0.1046,0.51422,0.69885,0,0.00115368,0.00115368,0.00115368
20,6488.06,0.07672,0.16119,0.7178,0.76321,0,0.93908,0.94748,0.98045,0.83267,0.94012,0.94853,0.98044,0.81066,0.06393,0.10716,0.48894,0.68251,0,0.00114301,0.00114301,0.00114301
21,6801.38,0.0787,0.163,0.72753,0.76914,0,0.94685,0.93559,0.97811,0.82884,0.94696,0.93766,0.97649,0.80468,0.06466,0.10935,0.4622,0.68154,0,0.00113183,0.00113183,0.00113183
22,7118.73,0.07765,0.15807,0.71222,0.76287,0,0.91847,0.94671,0.97763,0.82806,0.92057,0.94953,0.97701,0.80631,0.06505,0.10589,0.49762,0.68169,0,0.00112016,0.00112016,0.00112016
23,7435.43,0.07699,0.15739,0.70799,0.76863,0,0.94374,0.94433,0.98046,0.83542,0.94033,0.94358,0.97751,0.81268,0.06251,0.10948,0.46814,0.67632,0,0.00110801,0.00110801,0.00110801
24,7752.67,0.07595,0.15329,0.69358,0.75779,0,0.94664,0.95045,0.97835,0.83614,0.93804,0.95378,0.97803,0.80801,0.0621,0.1087,0.47192,0.66947,0,0.00109538,0.00109538,0.00109538
25,8069.15,0.07558,0.15529,0.68479,0.75783,0,0.94212,0.94538,0.98002,0.84385,0.94107,0.94433,0.97617,0.80795,0.06027,0.10583,0.46359,0.66059,0,0.0010823,0.0010823,0.0010823
26,8388.44,0.07496,0.15479,0.68448,0.7582,0,0.95389,0.93443,0.98306,0.84433,0.9492,0.93487,0.98037,0.82059,0.06325,0.10166,0.46177,0.67361,0,0.00106877,0.00106877,0.00106877
27,8700.97,0.07454,0.15149,0.67814,0.75606,0,0.96322,0.93697,0.98242,0.83674,0.96225,0.93382,0.97768,0.81407,0.06453,0.10564,0.45447,0.67941,0,0.00105481,0.00105481,0.00105481
28,8843.07,0.07496,0.15454,0.66441,0.75851,0,0.95795,0.94538,0.98182,0.8328,0.95688,0.94433,0.98061,0.81595,0.06353,0.1034,0.47617,0.67994,0,0.00104044,0.00104044,0.00104044
29,8986.45,0.07428,0.15465,0.68223,0.74976,0,0.95867,0.92597,0.97646,0.82956,0.96187,0.92752,0.97886,0.81229,0.06491,0.10056,0.48057,0.67579,0,0.00102566,0.00102566,0.00102566
30,9128.74,0.07232,0.15087,0.64965,0.7482,0,0.93311,0.9524,0.98389,0.84645,0.95445,0.92437,0.9763,0.80826,0.06071,0.10365,0.46253,0.66354,0,0.00101049,0.00101049,0.00101049
31,9270.6,0.07244,0.14758,0.63748,0.7424,0,0.93857,0.94693,0.97759,0.8461,0.93726,0.94328,0.97682,0.80928,0.06052,0.10456,0.46681,0.65848,0,0.000994942,0.000994942,0.000994942
32,9412.54,0.07212,0.14899,0.63131,0.73881,0,0.94035,0.94853,0.98193,0.83978,0.9417,0.95015,0.98173,0.81299,0.05992,0.10233,0.44136,0.65621,0,0.000979039,0.000979039,0.000979039
33,9554.55,0.07246,0.15264,0.64912,0.74671,0,0.95896,0.93259,0.97949,0.85138,0.96526,0.93382,0.98005,0.81776,0.05866,0.09998,0.44865,0.6494,0,0.000962793,0.000962793,0.000962793
34,9696.68,0.07049,0.14534,0.63285,0.73663,0,0.95602,0.95063,0.98263,0.84476,0.9528,0.94853,0.97981,0.81429,0.06152,0.0999,0.4311,0.66194,0,0.000946219,0.000946219,0.000946219
35,9839.15,0.07088,0.14774,0.62274,0.74287,0,0.9591,0.94853,0.98503,0.85277,0.95485,0.94433,0.97774,0.81903,0.05978,0.10248,0.4461,0.65934,0,0.000929335,0.000929335,0.000929335
36,9981.52,0.07093,0.14704,0.61274,0.74324,0,0.96089,0.92911,0.98213,0.85424,0.95981,0.92806,0.97864,0.81142,0.05675,0.10219,0.42068,0.65083,0,0.000912157,0.000912157,0.000912157
37,10123.8,0.06933,0.14276,0.58932,0.73351,0,0.94339,0.94433,0.98154,0.85781,0.94654,0.94748,0.98119,0.81756,0.05597,0.0986,0.41066,0.64426,0,0.000894701,0.000894701,0.000894701
38,10266.6,0.069,0.14595,0.61217,0.73494,0,0.95464,0.95061,0.98577,0.85822,0.95454,0.94958,0.98183,0.82041,0.05857,0.09784,0.43149,0.65471,0,0.000876985,0.000876985,0.000876985
39,10409,0.07056,0.14767,0.61798,0.7413,0,0.9573,0.94202,0.9822,0.85214,0.95628,0.9421,0.98089,0.8181,0.05821,0.10303,0.43101,0.64937,0,0.000859027,0.000859027,0.000859027
40,10551.8,0.06731,0.14118,0.59273,0.72582,0,0.94851,0.94815,0.98461,0.86633,0.94746,0.9471,0.98271,0.82064,0.05459,0.09935,0.40211,0.63629,0,0.000840844,0.000840844,0.000840844
41,10694.4,0.06825,0.14053,0.56461,0.72929,0,0.94924,0.94958,0.98574,0.8619,0.94652,0.94814,0.98399,0.81795,0.05579,0.09965,0.40165,0.63801,0,0.000822454,0.000822454,0.000822454
42,10836.6,0.06791,0.14256,0.57524,0.72611,0,0.96552,0.94137,0.98657,0.86305,0.96056,0.9466,0.98362,0.81793,0.05482,0.10157,0.39513,0.62889,0,0.000803876,0.000803876,0.000803876
43,10979,0.06801,0.14362,0.58768,0.72943,0,0.95277,0.95359,0.98659,0.86345,0.95086,0.95168,0.98607,0.82803,0.05619,0.09791,0.39271,0.63187,0,0.000785127,0.000785127,0.000785127
44,11121.6,0.0689,0.14571,0.59123,0.7322,0,0.97111,0.95345,0.98702,0.86506,0.96798,0.95259,0.98314,0.82627,0.0565,0.09954,0.38729,0.63799,0,0.000766226,0.000766226,0.000766226
45,11263.5,0.06637,0.14279,0.5642,0.72987,0,0.95859,0.94833,0.98481,0.87217,0.95965,0.94938,0.98307,0.82815,0.05453,0.10098,0.39974,0.63271,0,0.000747192,0.000747192,0.000747192
46,11405.6,0.06823,0.14111,0.57664,0.72857,0,0.95649,0.94684,0.98679,0.8642,0.95649,0.94684,0.98282,0.82612,0.05627,0.10121,0.38783,0.642,0,0.000728044,0.000728044,0.000728044
47,11547.6,0.06574,0.1389,0.55637,0.72267,0,0.95696,0.95755,0.98579,0.86441,0.95486,0.95545,0.98441,0.82439,0.05517,0.0985,0.39748,0.63809,0,0.0007088,0.0007088,0.0007088
48,11689.7,0.06488,0.13853,0.54469,0.71897,0,0.9537,0.95483,0.98572,0.86718,0.94657,0.95378,0.98255,0.82619,0.05519,0.09862,0.39056,0.63892,0,0.00068948,0.00068948,0.00068948
49,11832.1,0.06634,0.1428,0.57453,0.72498,0,0.94607,0.95798,0.98606,0.87208,0.94399,0.95588,0.98304,0.82225,0.05479,0.10133,0.38095,0.63159,0,0.000670102,0.000670102,0.000670102
50,11975,0.06636,0.14088,0.55756,0.7182,0,0.95495,0.95736,0.98584,0.87611,0.9539,0.95631,0.984,0.82554,0.053,0.09958,0.36377,0.6317,0,0.000650685,0.000650685,0.000650685
51,12117.7,0.06476,0.13814,0.54815,0.72092,0,0.96351,0.95378,0.98743,0.87713,0.96139,0.95168,0.98532,0.83508,0.05177,0.09858,0.35684,0.62307,0,0.00063125,0.00063125,0.00063125
