epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.375,0.17475,1.8222,1.00679,0.58986,0.73827,0.69707,0.4194,0.15467,1.33567,0.8928,0.00041445,0.00041445,0.00041445
2,292.916,0.14953,1.27125,0.89569,0.6676,0.76005,0.76173,0.44716,0.15786,1.144,0.90662,0.000830914,0.000830914,0.000830914
3,336.623,0.14801,1.21032,0.88977,0.5806,0.82127,0.72082,0.42593,0.15495,1.15306,0.89756,0.00124656,0.00124656,0.00124656
4,414.304,0.1459,1.14823,0.88785,0.69185,0.79572,0.77934,0.48854,0.14153,1.01557,0.86859,0.00124725,0.00124725,0.00124725
5,539.287,0.14429,1.08871,0.88614,0.69568,0.81004,0.79493,0.51912,0.13608,0.97928,0.85678,0.00124512,0.00124512,0.00124512
6,641.121,0.14488,1.07881,0.88506,0.67625,0.79339,0.75636,0.48648,0.13798,1.01756,0.84606,0.00124238,0.00124238,0.00124238
7,729.527,0.14228,1.03333,0.87145,0.71679,0.80821,0.80045,0.50512,0.14451,0.93155,0.85959,0.00123904,0.00123904,0.00123904
8,822.749,0.14126,1.00855,0.87105,0.70816,0.8252,0.80136,0.51661,0.13939,0.93962,0.85273,0.0012351,0.0012351,0.0012351
9,919.271,0.14036,1.00946,0.86564,0.70713,0.80982,0.80398,0.50294,0.14631,0.92654,0.87505,0.00123056,0.00123056,0.00123056
10,1011.6,0.13932,0.98562,0.86812,0.73438,0.7891,0.79336,0.50517,0.14232,0.93411,0.86607,0.00122543,0.00122543,0.00122543
11,1103.5,0.13849,0.98555,0.86561,0.73339,0.80988,0.82239,0.53005,0.13935,0.90319,0.8602,0.00121972,0.00121972,0.00121972
12,1194.74,0.13703,0.96653,0.85892,0.72665,0.82085,0.82821,0.5378,0.13986,0.87344,0.85391,0.00121342,0.00121342,0.00121342
13,1287.53,0.13586,0.93176,0.86181,0.73846,0.81572,0.82216,0.5193,0.14524,0.89285,0.88273,0.00120655,0.00120655,0.00120655
14,1380.79,0.13804,0.94503,0.86599,0.74348,0.82198,0.82358,0.53587,0.13741,0.87806,0.85855,0.00119911,0.00119911,0.00119911
15,1472.82,0.13637,0.92711,0.85247,0.74615,0.81613,0.83069,0.5306,0.14151,0.873,0.86695,0.00119111,0.00119111,0.00119111
16,1564.06,0.13562,0.91696,0.85623,0.73028,0.83259,0.82492,0.52674,0.14205,0.86652,0.86368,0.00118256,0.00118256,0.00118256
17,1651.35,0.13596,0.95278,0.85665,0.73465,0.81575,0.82783,0.54252,0.13853,0.87885,0.84814,0.00117346,0.00117346,0.00117346
18,1740.92,0.13762,0.91162,0.86516,0.74414,0.83133,0.82833,0.54637,0.13596,0.86675,0.84744,0.00116383,0.00116383,0.00116383
19,1830.05,0.13583,0.89991,0.86325,0.68423,0.79592,0.76909,0.50402,0.13322,0.89281,0.84246,0.00115368,0.00115368,0.00115368
